name,category,description,price
"F5 / PF CC 204","Threaded Rods","F5 / PF CC 204 - industrial composite",0
"Magnetic Laminates","Threaded Rods","Magnetic Laminates - industrial composite",0
"MICA Tubes","Threaded Rods","MICA Tubes - industrial composite",0
"MICA Sheet","Threaded Rods","MICA Sheet - industrial composite",0
"MICA Paper","Threaded Rods","MICA Paper - industrial composite",0
"MICA Tape","Threaded Rods","MICA Tape - industrial composite",0
"Synthetic MICA Tape","Threaded Rods","Synthetic MICA Tape - industrial composite",0
"Muscovite MICA Tape","Threaded Rods","Muscovite MICA Tape - industrial composite",0
"Phlogophite MICA Tape","Threaded Rods","Phlogophite MICA Tape - industrial composite",0
"Calcinied MICA Tape","Threaded Rods","Calcinied MICA Tape - industrial composite",0
"Products |","Threaded Rods","Products | - industrial composite",0
"GPO-1","Threaded Rods","GPO-1 - industrial composite",0
"GPO-2","Threaded Rods","GPO-2 - industrial composite",0
"GPO-3","Threaded Rods","GPO-3 - industrial composite",0
"SG204","Threaded Rods","SG204 - industrial composite",0
"HT276","Threaded Rods","HT276 - industrial composite",0
"Products","Machined Components","Products - industrial composite",0
"Glass Fabric Laminates","Machined Components","Glass Fabric Laminates - industrial composite",0
"Glass Matte Laminates","Machined Components","Glass Matte Laminates - industrial composite",0
"Speciality Laminates","Machined Components","Speciality Laminates - industrial composite",0
"MICA","Machined Components","MICA - industrial composite",0
"Tubes And Cylinders","Machined Components","Tubes And Cylinders - industrial composite",0
"Threaded Rods","Machined Components","Threaded Rods - industrial composite",0
"FR4 / EPGC 202","Machined Components","FR4 / EPGC 202 - industrial composite",0
"G10 / EPGC 201","Machined Components","G10 / EPGC 201 - industrial composite",0
"G11 / EPGC 202","Machined Components","G11 / EPGC 202 - industrial composite",0
"G7 / SIGC 202","Machined Components","G7 / SIGC 202 - industrial composite",0
"G30 / PFGC 301","Machined Components","G30 / PFGC 301 - industrial composite",0
"GPO1 / UPGM 201","Machined Components","GPO1 / UPGM 201 - industrial composite",0
"GPO2 / UPGM 202","Machined Components","GPO2 / UPGM 202 - industrial composite",0
"GPO3 / UPGM 203","Machined Components","GPO3 / UPGM 203 - industrial composite",0
"SG204 / GPO1","Machined Components","SG204 / GPO1 - industrial composite",0
"HT276 / UPGM 204/205","Machined Components","HT276 / UPGM 204/205 - industrial composite",0
"P1 / PF CP 201","Machined Components","P1 / PF CP 201 - industrial composite",0
